TeamId,TeamName,SubmissionDate,Score
1697137,"Home Aloan","2018-08-29 23:05:00",0.80570
1746650,ikiri_DS,"2018-08-29 23:57:02",0.80561
1742143,"alijs & Evgeny","2018-08-29 22:38:17",0.80511
1713896,"Quad Machine","2018-08-29 19:35:05",0.80474
1708353,"Kraków, Lublin i Zhabinka","2018-08-29 14:26:29",0.80449
1697998,silver,"2018-08-29 19:07:27",0.80419
1831396,"A.Assklou  _ Aguiar","2018-08-29 23:08:22",0.80396
1717122,七上八下,"2018-08-29 23:46:51",0.80376
1726438,"International Fit Club","2018-08-29 23:53:21",0.80374
1736411,"Best Friend Forever: CV","2018-08-29 23:04:17",0.80354
1850516,circlecircle,"2018-08-29 23:50:42",0.80336
1710843,"楼上神仙打架 ¯\_(ツ) _/¯","2018-08-29 18:28:55",0.80329
1784425,"KazAnova&Dmitry [h2o.ai]","2018-08-29 23:35:40",0.80325
1697213,"seagull, Adri and Tomoyo","2018-08-29 16:50:10",0.80312
1699759,"Give us some credit","2018-08-29 23:57:36",0.80279
1711610,wl_team,"2018-08-28 14:47:53",0.80278
1714045,qchemdog,"2018-08-29 19:07:02",0.80265
1698884,"[ods.ai] gangsters","2018-08-29 21:44:14",0.80226
1706755,AllMight,"2018-08-29 15:26:14",0.80137
1904767,Eureka,"2018-08-29 19:35:45",0.80130
1698023,sasakama,"2018-08-29 17:32:13",0.80121
1734742,Katabat,"2018-08-29 21:06:29",0.80112
1754229,"Vegetable chicken","2018-08-29 23:56:01",0.80111
1876302,"Abdel _ Arthur","2018-08-29 21:22:19",0.80110
1703821,TenDots,"2018-08-29 23:32:42",0.80103
1748025,"Trust Your CV :)","2018-08-29 18:23:12",0.80093
1838952,nyanp,"2018-08-29 16:01:41",0.80085
1714215,thomalm,"2018-08-28 17:01:17",0.80080
1706077,gbakie,"2018-08-28 07:39:49",0.80061
1766947,"Khalid AITELAMINE","2018-08-29 22:25:59",0.80055
1715062,PavelTroshenkov,"2018-08-29 20:45:51",0.80047
1699625,arnowaczynski,"2018-08-27 06:07:32",0.80043
1763788,"Craig Armstrong","2018-07-31 21:47:21",0.80033
1717298,"Not so Zesty","2018-08-27 08:18:16",0.80032
1700662,"Large Space Hypothesis","2018-08-29 18:11:30",0.80032
1967130,爱睡觉,"2018-08-29 12:48:18",0.80028
1703501,wuxz,"2018-08-29 05:01:36",0.80022
1698745,Yannick,"2018-08-28 09:54:52",0.80020
1718426,"Applied Intelligence","2018-08-29 23:25:52",0.80016
1715036,hmdhmd,"2018-08-29 23:34:52",0.80011
1882828,RunningWolf,"2018-08-29 23:44:37",0.80008
1861676,"Diangu Xie","2018-08-29 14:23:09",0.80003
